aX,aY,aZ,gX,gY,gZ
0.634,-0.756,-1.486,-28.809,52.979,-91.125
0.431,-1.055,-1.633,8.057,8.057,-28.320
0.474,-0.866,-1.389,23.804,-0.366,0.122
0.617,-0.726,-1.381,20.630,26.794,11.230
0.462,-0.342,-1.833,-11.353,38.147,15.808
0.485,-0.099,-1.862,-126.953,50.842,20.447
0.286,-0.073,-1.854,-197.449,57.556,15.381
0.134,-0.212,-1.776,-329.895,71.655,10.437
0.028,-0.456,-1.502,-378.479,80.078,13.306
0.035,-0.439,-1.419,-407.837,87.891,15.930
0.059,-0.367,-1.383,-411.011,101.013,8.667
0.115,-0.152,-1.357,-398.743,105.774,-1.526
0.138,-0.052,-1.327,-389.038,114.563,-27.283
0.157,-0.089,-1.299,-389.954,121.704,-38.940
0.209,-0.086,-1.133,-353.210,145.447,-50.903
0.353,0.018,-0.749,-312.866,160.461,-48.767
0.621,0.059,-0.920,-250.427,188.721,-25.269
0.975,0.039,-1.379,-204.834,193.665,-1.953
0.939,-0.026,-1.216,-161.743,187.378,60.730
0.881,-0.167,-0.539,-241.577,191.833,86.548
0.827,-0.037,-0.406,-336.060,223.328,121.094
0.801,0.089,-0.453,-257.874,236.450,134.277
0.807,-0.038,-0.495,-115.967,239.258,157.104
0.831,-0.195,-0.567,-128.906,232.605,163.757
0.854,-0.159,-0.606,-165.405,223.877,165.100
0.901,-0.079,-0.643,-196.350,202.270,156.067
0.949,-0.082,-0.662,-189.392,189.148,149.597
1.010,-0.076,-0.672,-166.382,160.034,138.550
1.094,-0.066,-0.601,-151.306,144.775,134.399
1.097,-0.071,-0.560,-123.230,113.525,127.502
1.073,-0.046,-0.462,-117.004,98.328,123.718
1.085,-0.017,-0.415,-108.582,72.449,114.197
1.162,0.003,-0.340,-103.333,62.866,108.521
1.184,-0.009,-0.301,-98.572,50.537,95.276
1.182,-0.027,-0.231,-97.290,46.570,87.891
1.168,-0.055,-0.203,-88.806,41.138,72.388
1.126,-0.147,-0.168,-87.769,39.368,64.514
1.105,-0.184,-0.161,-90.820,37.964,56.458
1.084,-0.272,-0.134,-95.581,34.058,41.138
1.092,-0.315,-0.108,-95.764,30.640,34.729
1.109,-0.355,-0.087,-98.145,22.156,25.574
1.149,-0.422,-0.038,-95.337,18.555,23.254
1.166,-0.457,-0.021,-84.595,13.428,22.888
1.181,-0.502,0.008,-78.918,10.864,25.146
1.179,-0.517,0.019,-61.890,2.747,33.875
1.184,-0.538,0.035,-53.101,-2.075,38.696
1.199,-0.540,0.036,-37.537,-11.719,47.363
1.215,-0.535,0.034,-29.968,-16.785,51.086
1.214,-0.536,0.026,-24.292,-22.400,54.260
1.218,-0.532,-0.009,-23.376,-37.292,58.960
1.218,-0.539,-0.034,-27.893,-46.753,60.364
1.219,-0.548,-0.064,-41.809,-69.824,62.439
1.227,-0.533,-0.066,-52.368,-83.252,64.148
1.244,-0.466,-0.020,-66.284,-114.380,72.083
1.285,-0.311,0.127,-56.641,-131.531,79.224
1.278,-0.244,0.196,-22.949,-164.978,100.586
1.155,-0.174,0.325,-11.047,-180.420,113.953
1.049,-0.167,0.381,10.254,-210.876,141.235
0.894,-0.169,0.433,19.287,-226.440,153.931
0.867,-0.173,0.457,29.663,-256.042,177.612
0.843,-0.239,0.542,33.875,-269.531,189.087
0.802,-0.289,0.594,34.973,-282.410,200.562
0.729,-0.330,0.638,15.381,-307.068,226.562
0.529,-0.298,0.726,1.160,-316.833,242.798
0.417,-0.231,0.773,-14.282,-331.299,283.569
0.193,-0.000,0.899,-10.132,-337.463,308.044
0.069,0.123,0.938,37.109,-346.069,361.816
-0.247,0.168,0.962,72.571,-348.572,387.573
-0.485,0.164,0.958,83.008,-353.210,433.899
-1.031,0.258,0.902,50.964,-350.342,458.069
-1.344,0.396,0.843,-22.827,-326.233,516.724
-2.141,0.789,0.639,-36.438,-307.068,551.758
-2.701,0.968,0.516,-2.075,-262.878,627.625
-3.880,1.146,0.332,23.071,-241.638,663.757
-4.000,1.251,0.331,32.959,-221.497,697.571
-4.000,1.434,0.440,-20.203,-174.683,758.911
-3.987,2.046,0.904,-57.129,-137.939,785.522
-3.985,2.308,1.147,-78.796,-11.597,826.660
-4.000,2.643,1.637,-80.811,90.515,835.205
-4.000,2.796,1.804,-165.161,417.175,808.777
-4.000,2.746,0.888,-270.325,649.719,758.911
-4.000,2.802,-0.519,-544.556,1198.914,533.142
-4.000,3.218,-3.900,-595.337,1457.641,354.065
-4.000,3.192,-4.000,-393.860,1815.918,5.493
-4.000,2.164,-4.000,-253.601,1903.625,-103.638
-4.000,1.107,-3.949,-165.527,1925.171,-166.992
-4.000,-1.710,-3.991,-323.303,1728.638,-278.320
-4.000,-2.924,-4.000,-590.515,1515.015,-392.395
-4.000,-3.100,-4.000,-957.336,931.274,-648.254
-3.719,-2.031,-3.999,-810.791,638.855,-666.809
-3.320,-1.659,-3.999,-98.022,266.113,-427.551
-2.935,-1.565,-4.000,229.553,185.730,-265.381
-2.779,-1.594,-4.000,627.258,96.008,-38.269
-2.175,-1.602,-3.876,686.706,59.204,12.573
-1.895,-1.549,-3.559,547.302,27.527,34.424
-1.711,-0.853,-2.773,331.787,24.658,17.761
-1.552,-0.299,-2.576,-83.252,5.737,-25.574
-1.234,0.416,-2.247,-110.474,16.479,-46.814
-1.160,0.467,-2.150,36.804,69.702,-72.388
-1.086,0.209,-2.119,82.458,88.135,-73.364
-1.029,0.095,-2.110,54.932,105.835,-83.313
-0.911,0.002,-2.107,26.672,106.140,-92.468
-0.882,0.022,-2.114,5.310,99.365,-100.891
-0.870,0.038,-2.086,4.456,66.772,-108.521
-0.807,-0.070,-1.971,10.742,45.044,-108.948
-0.745,-0.164,-1.885,6.165,0.732,-107.544
-0.691,-0.246,-1.602,-0.366,-19.653,-105.225
-0.709,-0.227,-1.448,-10.071,-52.246,-96.008
-0.728,-0.146,-1.145,-13.367,-62.500,-89.355
-0.713,-0.105,-1.007,-12.390,-68.420,-74.707
-0.662,-0.056,-0.806,-6.409,-64.880,-67.993
-0.640,-0.038,-0.750,6.409,-50.781,-56.335
-0.611,0.005,-0.703,11.780,-42.847,-50.720
-0.600,0.018,-0.688,23.926,-29.602,-40.344
-0.572,0.011,-0.708,24.963,-25.208,-37.292
-0.552,0.005,-0.733,11.902,-20.569,-34.607
-0.489,0.026,-0.797,1.587,-19.958,-33.203
-0.465,0.049,-0.832,-21.057,-20.508,-30.884
-0.427,0.091,-0.888,-30.151,-21.301,-29.358

-1.841,-0.025,0.914,68.970,-460.083,421.143
-2.047,-0.048,0.921,-25.391,-431.274,478.149
-2.673,0.008,0.916,-75.012,-404.053,510.132
-3.093,0.091,0.971,-152.832,-333.984,579.590
-3.934,0.337,1.076,-185.181,-292.419,616.516
-4.000,0.499,1.156,-247.925,-192.383,693.664
-4.000,1.273,1.465,-282.654,-130.310,734.741
-3.989,1.783,1.648,-306.396,28.809,823.181
-3.997,2.634,2.024,-291.138,130.859,861.328
-4.000,2.955,2.030,-282.471,256.165,887.634
-4.000,3.258,1.770,-337.158,604.004,886.169
-4.000,3.889,-0.270,-384.705,832.519,842.895
-4.000,4.000,-1.735,-421.143,1337.280,652.527
-4.000,3.909,-4.000,-388.611,1561.828,517.456
-4.000,3.403,-4.000,-308.228,1862.915,223.511
-4.000,1.270,-3.996,-315.186,1921.936,74.768
-4.000,0.493,-3.959,-545.532,1794.983,-221.008
-4.000,-2.622,-3.998,-804.932,1600.586,-382.935
-4.000,-3.011,-4.000,-1054.443,1013.977,-642.456
-3.761,-1.594,-4.000,-800.415,715.576,-624.634
-3.580,-1.247,-3.999,169.495,320.984,-309.387
-3.359,-1.426,-4.000,541.260,211.670,-133.240
-3.248,-1.524,-4.000,697.205,122.253,-8.911
-3.022,-1.443,-3.991,513.916,-13.977,58.105
-2.463,-0.709,-3.386,306.213,-42.969,36.011
-2.187,-0.194,-2.884,-25.757,-29.236,-21.118
-1.921,0.416,-2.264,-33.203,4.578,-41.138
-1.797,0.330,-2.103,39.734,33.264,-76.355
-1.442,-0.137,-2.135,72.876,49.438,-85.571
-1.329,-0.270,-2.159,67.383,106.628,-91.064
-1.275,-0.229,-2.089,35.828,121.704,-93.018
-1.230,-0.205,-2.085,8.789,122.253,-92.712
-1.033,-0.194,-2.083,14.771,113.770,-89.600
-0.946,-0.203,-2.027,40.405,89.844,-78.430
-0.854,-0.291,-1.921,54.321,76.111,-69.336
-0.823,-0.334,-1.859,65.735,61.584,-59.326
-0.802,-0.353,-1.705,60.547,30.823,-42.480
-0.791,-0.298,-1.650,40.588,15.564,-36.438
-0.782,-0.227,-1.612,17.761,-10.681,-28.687
-0.751,-0.174,-1.538,33.386,-19.592,-27.039
-0.737,-0.211,-1.486,77.393,-29.358,-28.320
-0.713,-0.292,-1.388,79.102,-31.982,-30.701
-0.697,-0.304,-1.366,45.837,-36.560,-36.804
-0.672,-0.202,-1.318,22.522,-39.429,-39.429
-0.669,-0.120,-1.294,-14.465,-47.974,-40.039
-0.651,0.005,-1.245,-19.226,-53.467,-37.842
-0.661,0.031,-1.224,-0.549,-65.979,-30.701
-0.689,0.090,-1.201,14.099,-72.815,-26.550
-0.716,0.122,-1.189,30.579,-86.365,-18.738
-0.797,0.177,-1.184,30.396,-93.079,-15.747
-0.810,0.217,-1.183,13.306,-105.896,-12.390
-0.821,0.321,-1.170,-0.610,-112.061,-11.475
-0.837,0.376,-1.167,-13.184,-118.225,-10.620
-0.921,0.483,-1.182,-26.672,-131.287,-8.545
-0.984,0.514,-1.193,-27.588,-138.123,-7.324
-0.989,0.533,-1.203,-9.949,-150.696,-6.775
-0.878,0.520,-1.245,5.554,-155.457,-7.874
-0.838,0.490,-1.278,18.188,-161.072,-12.085
-0.823,0.430,-1.328,9.521,-162.415,-14.648
-0.756,0.397,-1.333,-30.518,-165.649,-18.982
