aX,aY,aZ,gX,gY,gZ
-0.785,0.707,1.436,40.161,-62.988,234.558
-0.939,0.769,1.473,64.392,-57.312,270.630
-1.455,0.834,1.558,77.454,-51.941,289.001
-1.834,0.926,1.701,65.063,-30.273,326.050
-2.767,1.301,2.296,55.603,-9.888,344.360
-3.268,1.513,2.699,101.135,73.364,376.038
-3.954,1.635,3.511,146.057,148.865,387.756
-4.000,1.523,3.581,181.702,256.165,398.499
-3.998,1.389,3.388,124.084,572.388,418.213
-3.997,1.392,1.921,44.434,761.841,419.861
-4.000,1.606,0.430,-36.987,1108.154,391.846
-4.000,2.007,-3.050,-30.823,1232.178,368.591
-4.000,2.001,-4.000,-6.897,1314.941,315.735
-4.000,1.760,-4.000,-35.400,1256.531,279.236
-4.000,1.448,-4.000,-211.975,972.534,155.334
-3.021,0.870,-3.974,-290.283,783.142,75.684
-1.545,0.648,-3.997,-259.155,402.832,-46.204
0.486,0.474,-4.000,-191.711,239.136,-71.289
0.639,0.459,-4.000,-117.737,100.037,-75.806
0.477,0.188,-3.999,72.998,-101.868,-54.077
0.431,-0.093,-3.999,159.973,-165.771,-44.006
0.503,-0.318,-3.901,201.965,-231.079,-44.983
0.798,-0.345,-3.151,167.114,-240.723,-52.246
0.857,-0.210,-2.770,99.670,-233.704,-65.002
0.731,0.028,-2.324,92.224,-223.389,-67.688
0.605,0.105,-2.170,61.829,-201.172,-74.219
0.370,0.290,-1.970,44.495,-189.453,-80.872
0.288,0.338,-1.869,57.495,-162.415,-96.252
0.137,0.389,-1.633,26.794,-166.870,-105.713
0.054,0.363,-1.487,-48.889,-177.551,-123.718
-0.019,0.287,-1.130,-71.899,-177.734,-131.897
0.013,0.255,-0.953,-98.572,-177.490,-142.944
0.141,0.176,-0.633,-112.610,-176.819,-144.958
0.198,0.144,-0.499,-151.062,-171.570,-143.494
0.305,0.115,-0.264,-162.048,-164.856,-140.198
0.386,0.105,-0.155,-167.114,-156.982,-135.498
0.573,0.059,0.039,-175.293,-141.418,-124.268
0.641,0.049,0.107,-186.096,-132.996,-118.958
0.690,0.061,0.157,-201.477,-114.136,-104.919
0.753,0.075,0.225,-201.233,-103.943,-96.252
0.781,0.058,0.268,-201.172,-82.886,-80.566
0.868,0.034,0.319,-204.285,-72.693,-73.425
0.930,0.039,0.318,-216.187,-52.979,-58.533
0.977,0.053,0.318,-221.619,-43.762,-50.598
0.967,0.078,0.318,-225.525,-28.442,-34.607
0.943,0.124,0.308,-220.703,-22.461,-27.100
0.938,0.129,0.299,-200.012,-12.268,-13.611
0.932,0.119,0.272,-189.758,-7.385,-7.996
0.929,0.120,0.251,-182.739,-2.380,-3.235
0.918,0.123,0.230,-181.213,7.996,3.479
0.897,0.162,0.187,-184.204,13.306,5.493
0.889,0.189,0.185,-188.171,22.766,6.775
0.889,0.246,0.196,-186.096,26.611,6.104
0.900,0.273,0.195,-168.701,33.142,2.808
0.907,0.292,0.200,-158.020,36.560,0.610
0.898,0.291,0.190,-150.940,40.344,-1.892
0.872,0.316,0.167,-152.161,48.523,-6.958
0.858,0.342,0.158,-157.776,52.795,-9.094
0.844,0.365,0.155,-164.185,60.486,-11.536
0.811,0.388,0.145,-163.757,63.538,-12.207
0.794,0.385,0.140,-162.415,66.895,-13.794
0.773,0.350,0.172,-161.621,66.711,-14.893
0.798,0.331,0.200,-151.306,61.584,-16.541
0.898,0.246,0.260,-139.832,57.495,-16.724
0.958,0.185,0.286,-113.464,49.561,-14.954
1.113,0.066,0.290,-102.173,46.936,-12.878
1.178,0.016,0.301,-94.299,45.349,-10.071
1.226,-0.024,0.313,-91.919,41.443,-3.296
1.326,-0.069,0.308,-89.233,39.856,0.793
1.368,-0.093,0.293,-66.467,38.879,9.644
1.401,-0.156,0.256,-52.002,38.452,13.855
1.396,-0.185,0.227,-27.100,37.231,20.081
1.338,-0.233,0.167,-17.578,36.072,21.667
1.304,-0.251,0.135,-8.972,31.067,21.729
1.263,-0.267,0.058,-12.451,26.184,20.508
1.234,-0.276,0.032,-15.625,22.705,18.250
1.202,-0.282,0.014,-16.663,18.005,12.207
1.159,-0.279,-0.036,-17.395,14.038,8.728
1.145,-0.283,-0.060,-21.057,4.211,0.732
1.120,-0.291,-0.082,-22.949,0.122,-3.113
1.107,-0.286,-0.083,-30.212,-6.042,-9.460
1.073,-0.254,-0.070,-36.987,-9.216,-11.780
1.055,-0.235,-0.063,-42.297,-15.198,-15.015
1.020,-0.215,-0.046,-38.086,-18.005,-15.930
0.993,-0.215,-0.032,-28.259,-22.461,-16.602
0.957,-0.215,-0.011,-27.588,-23.987,-16.418
0.951,-0.208,-0.003,-32.471,-24.963,-15.564
0.934,-0.191,0.017,-35.156,-24.536,-14.954
0.924,-0.176,0.029,-36.743,-23.804,-14.160
0.920,-0.159,0.055,-33.264,-22.827,-12.268
0.929,-0.156,0.063,-27.222,-22.644,-11.108
0.937,-0.162,0.072,-10.742,-22.522,-8.240
0.938,-0.186,0.072,-3.601,-22.583,-6.470
0.925,-0.199,0.083,2.563,-23.010,-2.441
0.912,-0.221,0.106,0.732,-23.560,-1.465
0.912,-0.222,0.115,-4.883,-25.024,-0.549
0.917,-0.236,0.134,-6.653,-25.391,0.183
0.921,-0.239,0.138,-8.667,-24.475,2.075
0.928,-0.245,0.130,-8.972,-23.254,3.052
0.920,-0.250,0.129,-10.864,-20.142,4.944
0.888,-0.251,0.131,-13.184,-18.860,5.798
0.878,-0.243,0.127,-15.259,-18.066,6.531
0.878,-0.223,0.120,-15.259,-16.785,8.179
0.886,-0.219,0.119,-13.000,-15.930,9.155
0.890,-0.220,0.121,-7.751,-13.306,11.169
0.895,-0.224,0.125,-6.165,-11.719,12.146
0.901,-0.218,0.126,-5.615,-8.301,13.855
0.910,-0.204,0.127,-5.432,-6.470,14.648
0.915,-0.199,0.122,-2.197,-2.869,15.930
0.926,-0.197,0.110,0.061,-1.160,16.296
0.932,-0.198,0.108,-0.061,1.709,16.357
0.940,-0.194,0.113,-2.563,2.625,16.113
0.948,-0.187,0.114,-6.042,3.296,15.442
0.974,-0.175,0.110,-5.798,3.235,15.137
0.987,-0.171,0.107,-4.700,3.235,14.954
1.002,-0.167,0.097,-2.380,3.845,14.404
1.012,-0.164,0.086,-1.770,4.272,13.916
1.013,-0.164,0.085,-2.625,4.700,12.024
1.027,-0.164,0.080,-3.845,4.761,10.742

-1.390,0.630,1.401,-46.448,-310.425,273.315
-1.580,0.796,1.482,-14.526,-297.852,319.702
-2.144,0.949,1.539,21.362,-284.729,345.825
-2.549,0.982,1.628,24.536,-237.549,403.259
-3.379,1.254,2.146,-12.512,-199.097,436.951
-3.665,1.495,2.564,-22.278,-77.026,507.812
